Lat[deg],Lng[deg],Details
33.876084,130.702566,grass
33.877950,130.714919,grass
33.876084,130.702566,grass
33.877950,130.714919,grass
33.898887,130.718972,grass
33.899499,130.713700,grass
33.899761,130.712677,grass
33.876084,130.702566,grass
33.877950,130.714919,grass
33.898887,130.718972,grass
33.899499,130.713700,grass
33.899761,130.712677,grass
33.876635,130.727416,step
33.877221,130.726550,step
33.876084,130.702566,grass
33.877950,130.714919,grass
33.898887,130.718972,grass
33.899499,130.713700,grass
33.899761,130.712677,grass
33.876635,130.727416,step
33.877221,130.726550,step
33.876084,130.702566,grass
33.877950,130.714919,grass
33.898887,130.718972,grass
33.899499,130.713700,grass
33.899761,130.712677,grass
33.876635,130.727416,step
33.877221,130.726550,step
33.860735,130.711550,step
